<PAD>
<NOT A SENATOR>
Kirk (R-IL)
Blumenthal (D-CT)
Booker (D-NJ)
Walsh (D-MT)
Vitter (R-LA)
Boxer (D-CA)
Barrasso (R-WY)
Johnson (R-WI)
Udall (D-CO)
Cardin (D-MD)
Sanders (I-VT)
Cornyn (R-TX)
Hatch (R-UT)
Bennet (D-CO)
Klobuchar (D-MN)
Peters (D-MI)
Toomey (R-PA)
Cantwell (D-WA)
Nelson (D-FL)
Hirono (D-HI)
Tester (D-MT)
Cochran (R-MS)
Reid (D-NV)
Gillibrand (D-NY)
Landrieu (D-LA)
Coons (D-DE)
Franken (D-MN)
Hagan (D-NC)
Capito (R-WV)
Wicker (R-MS)
Carper (D-DE)
Merkley (D-OR)
Murray (D-WA)
Whitehouse (D-RI)
Cruz (R-TX)
Ayotte (R-NH)
Feinstein (D-CA)
Inhofe (R-OK)
Risch (R-ID)
Graham (R-SC)
Chiesa (R-NJ)
Johnson (D-SD)
Burr (R-NC)
Lautenberg (D-NJ)
Moran (R-KS)
McCain (R-AZ)
Donnelly (D-IN)
Warren (D-MA)
Boozman (R-AR)
Cotton (R-AR)
Coburn (R-OK)
Daines (R-MT)
Schumer (D-NY)
Lee (R-UT)
Levin (D-MI)
Gardner (R-CO)
Heller (R-NV)
Markey (D-MA)
Murphy (D-CT)
Durbin (D-IL)
McCaskill (D-MO)
McConnell (R-KY)
Reed (D-RI)
Mikulski (D-MD)
King (I-ME)
Thune (R-SD)
Paul (R-KY)
Flake (R-AZ)
Alexander (R-TN)
Coats (R-IN)
Fischer (R-NE)
Collins (R-ME)
Warner (D-VA)
Heinrich (D-NM)
Wyden (D-OR)
Manchin (D-WV)
Casey (D-PA)
Leahy (D-VT)
Murkowski (R-AK)
Kaine (D-VA)
Scott (R-SC)
Cowan (D-MA)
Blunt (R-MO)
Cassidy (R-LA)
Shelby (R-AL)
Menendez (D-NJ)
Johanns (R-NE)
Sullivan (R-AK)
Harkin (D-IA)
Portman (R-OH)
Udall (D-NM)
Ernst (R-IA)
Rubio (R-FL)
Tillis (R-NC)
Pryor (D-AR)
Rockefeller (D-WV)
Heitkamp (D-ND)
Roberts (R-KS)
Sessions (R-AL)
Lankford (R-OK)
Schatz (D-HI)
Baucus (D-MT)
Sasse (R-NE)
Brown (D-OH)
Crapo (R-ID)
Hoeven (R-ND)
Grassley (R-IA)
Enzi (R-WY)
Perdue (R-GA)
Shaheen (D-NH)
Stabenow (D-MI)
Isakson (R-GA)
Rounds (R-SD)
Corker (R-TN)
Kerry (D-MA)
Baldwin (D-WI)
Begich (D-AK)
Chambliss (R-GA)
